"Date","Location","Average Occupancy(%)","Active IDs Assigned to Sites","Total Badge Swipes"
"May 02,2020","India Elnath Bldg 5","5.43","1896","103"
"May 03,2020","India Elnath Bldg 5","4.59","1896","87"
"May 03,2020","India-Electra, Bldg 4","2.68","1233","33"
"May 03,2020","Hong Kong","1.39","72","1"
"May 03,2020","India-Bagmane Tridib, Bldg 3","3.11","483","15"
"May 03,2020","India-Mumbai","4.17","24","1"
"May 03,2020","Tokyo, Japan (Kyobashi)","2.86","35","1"
"May 03,2020","Tokyo, Japan (Shinjuku)","1.13","177","2"
"May 03,2020","Seoul, Korea","2.27","44","1"
"May 03,2020","Durham, NC","2.08","48","1"
"May 03,2020","Cupertino, CA (Mist)","1.8","111","2"
"May 03,2020","Taipei","4","25","1"
"May 03,2020","Addlestone","1.23","81","1"
"May 03,2020","Singapore","1.47","68","1"
"May 03,2020","Riyadh","3.3","91","3"
"May 03,2020","Amsterdam","1.18","254","3"
"May 03,2020","Beijing Sales","2.04","49","1"
"May 03,2020","Beijing R&D","3.36","149","5"
"May 03,2020","Wuhan R&D","20","5","1"
"May 03,2020","Munich","7.69","13","1"
"May 03,2020","Shanghai","2.38","42","1"
"May 03,2020","Guangzhou, China","5.26","19","1"
"May 03,2020","Herndon, Bldg 1","2.38","126","3"
"May 03,2020","Quincy, WA GEO DC Bldg A","15.63","32","5"
"May 03,2020","SVL Building 5","3.13","64","2"
"May 03,2020","SVL Building 8","8.89","45","4"
"May 03,2020","SVL Building A","0.63","1260","8"
"May 03,2020","SVL Building B","1.5","1335","20"
"May 03,2020","Westford NEIC R&D","1.11","452","5"
"May 04,2020","Westford NEIC R&D","5.53","452","25"
"May 04,2020","SVL Building B","6.07","1335","81"
"May 04,2020","SVL Building A","6.51","1260","82"
"May 04,2020","SVL Building 8","88.89","45","40"
"May 04,2020","SVL Building 5","43.75","64","28"
"May 04,2020","Quincy, WA GEO DC Bldg A","84.38","32","27"
"May 04,2020","Herndon, Bldg 1","11.11","126","14"
"May 04,2020","Shanghai","7.14","42","3"
"May 04,2020","Munich","7.69","13","1"
"May 04,2020","Paris, France","3.39","59","2"
"May 04,2020","America s Demo Pool- Sterling VA","75","4","3"
"May 04,2020","Madrid, Spain","2.5","40","1"
"May 04,2020","Beijing R&D","1.34","149","2"
"May 04,2020","Beijing CSS","2.99","67","2"
"May 04,2020","Beijing Sales","2.04","49","1"
"May 04,2020","Kanata Optical (BTI Ottawa)","14.29","21","3"
"May 04,2020","Kanata (R&D)","1.96","51","1"
"May 04,2020","Brussels","100","2","2"
"May 04,2020","Melbourne Sales","5.66","53","3"
"May 04,2020","Sydney Sales","4.44","45","2"
"May 04,2020","Dubai","5.88","34","2"
"May 04,2020","Amsterdam","6.69","254","17"
"May 04,2020","Riyadh","1.1","91","1"
"May 04,2020","Singapore","1.47","68","1"
"May 04,2020","Stockholm","11.76","17","2"
"May 04,2020","Addlestone","2.47","81","2"
"May 04,2020","Taipei","60","25","15"
"May 04,2020","Cupertino, CA (Mist)","6.31","111","7"
"May 04,2020","Durham, NC","6.25","48","3"
"May 04,2020","London, UK","5.56","18","1"
"May 04,2020","Bridgewater","5.88","34","2"
"May 04,2020","Seoul, Korea","45.45","44","20"
"May 04,2020","Tokyo, Japan (Shinjuku)","1.13","177","2"
"May 04,2020","India-Mumbai","8.33","24","2"
"May 04,2020","Milan","10.53","19","2"
"May 04,2020","India-Bagmane Tridib, Bldg 3","3.31","483","16"
"May 04,2020","Hong Kong","30.56","72","22"
"May 04,2020","India-Electra, Bldg 4","4.14","1233","51"
"May 04,2020","India Elnath Bldg 5","5.8","1896","110"
"May 05,2020","India Elnath Bldg 5","5.59","1896","106"
"May 05,2020","India-Electra, Bldg 4","3.33","1233","41"
"May 05,2020","Hong Kong","31.94","72","23"
"May 05,2020","India-Bagmane Tridib, Bldg 3","3.52","483","17"
"May 05,2020","Milan","10.53","19","2"
"May 05,2020","India-Mumbai","8.33","24","2"
"May 05,2020","Tokyo, Japan (Shinjuku)","1.13","177","2"
"May 05,2020","Seoul, Korea","4.55","44","2"
"May 05,2020","Kuala Lumpur, Malaysia","3.45","29","1"
"May 05,2020","Bridgewater","8.82","34","3"
"May 05,2020","Belfast","5.56","18","1"
"May 05,2020","London, UK","5.56","18","1"
"May 05,2020","Durham, NC","6.25","48","3"
"May 05,2020","Cupertino, CA (Mist)","6.31","111","7"
"May 05,2020","Dallas","5.88","17","1"
"May 05,2020","Taipei","44","25","11"
"May 05,2020","Addlestone","4.94","81","4"
"May 05,2020","Stockholm","11.76","17","2"
"May 05,2020","Singapore","2.94","68","2"
"May 05,2020","Riyadh","2.2","91","2"
"May 05,2020","Amsterdam","3.15","254","8"
"May 05,2020","Dubai","2.94","34","1"
"May 05,2020","Sydney Sales","13.33","45","6"
"May 05,2020","Melbourne Sales","11.32","53","6"
"May 05,2020","Kanata (R&D)","5.88","51","3"
"May 05,2020","Kanata Optical (BTI Ottawa)","9.52","21","2"
"May 05,2020","Beijing Sales","4.08","49","2"
"May 05,2020","Beijing CSS","2.99","67","2"
"May 05,2020","Beijing R&D","2.68","149","4"
"May 05,2020","America s Demo Pool- Sterling VA","100","4","4"
"May 05,2020","Paris, France","3.39","59","2"
"May 05,2020","Munich","15.38","13","2"
"May 05,2020","Wuhan R&D","20","5","1"
"May 05,2020","Shanghai","11.9","42","5"
"May 05,2020","Guangzhou, China","5.26","19","1"
"May 05,2020","Herndon, Bldg 1","10.32","126","13"
"May 05,2020","Quincy, WA GEO DC Bldg A","78.13","32","25"
"May 05,2020","SVL Building 5","32.81","64","21"
"May 05,2020","SVL Building 8","84.44","45","38"
"May 05,2020","SVL Building A","6.51","1260","82"
"May 05,2020","SVL Building B","5.17","1335","69"
"May 05,2020","Westford NEIC R&D","5.53","452","25"
"May 06,2020","Westford NEIC R&D","4.87","452","22"
"May 06,2020","SVL Building B","4.94","1335","66"
"May 06,2020","SVL Building A","6.9","1260","87"
"May 06,2020","SVL Building 8","97.78","45","44"
"May 06,2020","SVL Building 5","54.69","64","35"
"May 06,2020","Quincy, WA GEO DC Bldg A","81.25","32","26"
"May 06,2020","Herndon, Bldg 1","10.32","126","13"
"May 06,2020","Frederick, MD (R&D)","66.67","3","2"
"May 06,2020","Guangzhou, China","26.32","19","5"
"May 06,2020","Shanghai","40.48","42","17"
"May 06,2020","Wuhan R&D","20","5","1"
"May 06,2020","Munich","15.38","13","2"
"May 06,2020","Paris, France","1.69","59","1"
"May 06,2020","America s Demo Pool- Sterling VA","100","4","4"
"May 06,2020","Madrid, Spain","5","40","2"
"May 06,2020","Beijing R&D","81.88","149","122"
"May 06,2020","Beijing CSS","13.43","67","9"
"May 06,2020","Beijing Sales","46.94","49","23"
"May 06,2020","Kanata Optical (BTI Ottawa)","14.29","21","3"
"May 06,2020","Kanata (R&D)","1.96","51","1"
"May 06,2020","Melbourne Sales","9.43","53","5"
"May 06,2020","Sydney Sales","13.33","45","6"
"May 06,2020","Amsterdam","5.12","254","13"
"May 06,2020","Moscow","2.44","41","1"
"May 06,2020","Riyadh","3.3","91","3"
"May 06,2020","Singapore","2.94","68","2"
"May 06,2020","Stockholm","17.65","17","3"
"May 06,2020","Addlestone","2.47","81","2"
"May 06,2020","Taipei","36","25","9"
"May 06,2020","Dallas","11.76","17","2"
"May 06,2020","Cupertino, CA (Mist)","7.21","111","8"
"May 06,2020","Durham, NC","10.42","48","5"
"May 06,2020","Belfast","11.11","18","2"
"May 06,2020","Bridgewater","11.76","34","4"
"May 06,2020","Seoul, Korea","88.64","44","39"
"May 06,2020","Tokyo, Japan (Shinjuku)","0.56","177","1"
"May 06,2020","India-Mumbai","4.17","24","1"
"May 06,2020","Milan","5.26","19","1"
"May 06,2020","India-Bagmane Tridib, Bldg 3","3.31","483","16"
"May 06,2020","Dublin","4.55","22","1"
"May 06,2020","Hong Kong","30.56","72","22"
"May 06,2020","India-Electra, Bldg 4","3.49","1233","43"
"May 06,2020","India Elnath Bldg 5","5.91","1896","112"
"May 07,2020","India Elnath Bldg 5","5.85","1896","111"
"May 07,2020","India-Electra, Bldg 4","3.65","1233","45"
"May 07,2020","Hong Kong","38.89","72","28"
"May 07,2020","Dublin","4.55","22","1"
"May 07,2020","India-Bagmane Tridib, Bldg 3","3.31","483","16"
"May 07,2020","Milan","10.53","19","2"
"May 07,2020","India-Mumbai","4.17","24","1"
"May 07,2020","Tokyo, Japan (Kyobashi)","8.57","35","3"
"May 07,2020","Tokyo, Japan (Shinjuku)","3.95","177","7"
"May 07,2020","Seoul, Korea","63.64","44","28"
"May 07,2020","Bridgewater","8.82","34","3"
"May 07,2020","Durham, NC","8.33","48","4"
"May 07,2020","London, UK","5.56","18","1"
"May 07,2020","Cupertino, CA (Mist)","6.31","111","7"
"May 07,2020","Taipei","36","25","9"
"May 07,2020","Addlestone","1.23","81","1"
"May 07,2020","Stockholm","23.53","17","4"
"May 07,2020","Riyadh","4.4","91","4"
"May 07,2020","Amsterdam","4.33","254","11"
"May 07,2020","Sydney Sales","8.89","45","4"
"May 07,2020","Melbourne Sales","11.32","53","6"
"May 07,2020","Dubai","5.88","34","2"
"May 07,2020","Kanata (R&D)","3.92","51","2"
"May 07,2020","Brussels","100","2","2"
"May 07,2020","Kanata Optical (BTI Ottawa)","9.52","21","2"
"May 07,2020","Beijing Sales","30.61","49","15"
"May 07,2020","Beijing CSS","26.87","67","18"
"May 07,2020","Beijing R&D","85.91","149","128"
"May 07,2020","America s Demo Pool- Sterling VA","75","4","3"
"May 07,2020","Paris, France","5.08","59","3"
"May 07,2020","Munich","15.38","13","2"
"May 07,2020","Shanghai","40.48","42","17"
"May 07,2020","Guangzhou, China","26.32","19","5"
"May 07,2020","Herndon, Bldg 1","10.32","126","13"
"May 07,2020","Quincy, WA GEO DC Bldg A","87.5","32","28"
"May 07,2020","SVL Building 5","46.88","64","30"
"May 07,2020","SVL Building 8","97.78","45","44"
"May 07,2020","SVL Building A","8.1","1260","102"
"May 07,2020","SVL Building B","5.39","1335","72"
"May 07,2020","Westford NEIC R&D","6.86","452","31"
"May 08,2020","Westford NEIC R&D","5.97","452","27"
"May 08,2020","SVL Building B","5.84","1335","78"
"May 08,2020","SVL Building A","5.63","1260","71"
"May 08,2020","SVL Building 8","91.11","45","41"
"May 08,2020","SVL Building 5","35.94","64","23"
"May 08,2020","Quincy, WA GEO DC Bldg A","71.88","32","23"
"May 08,2020","Herndon, Bldg 1","10.32","126","13"
"May 08,2020","Frederick, MD (R&D)","66.67","3","2"
"May 08,2020","Guangzhou, China","31.58","19","6"
"May 08,2020","Shanghai","35.71","42","15"
"May 08,2020","Munich","15.38","13","2"
"May 08,2020","Wuhan R&D","20","5","1"
"May 08,2020","Paris, France","1.69","59","1"
"May 08,2020","America s Demo Pool- Sterling VA","75","4","3"
"May 08,2020","Madrid, Spain","5","40","2"
"May 08,2020","Beijing R&D","79.87","149","119"
"May 08,2020","Beijing CSS","19.4","67","13"
"May 08,2020","Beijing Sales","18.37","49","9"
"May 08,2020","Kanata Optical (BTI Ottawa)","14.29","21","3"
"May 08,2020","Kanata (R&D)","1.96","51","1"
"May 08,2020","Melbourne Sales","9.43","53","5"
"May 08,2020","Sydney Sales","15.56","45","7"
"May 08,2020","Amsterdam","4.72","254","12"
"May 08,2020","Moscow","2.44","41","1"
"May 08,2020","Riyadh","1.1","91","1"
"May 08,2020","Stockholm","5.88","17","1"
"May 08,2020","Singapore","1.47","68","1"
"May 08,2020","Addlestone","1.23","81","1"
"May 08,2020","Taipei","52","25","13"
"May 08,2020","Cupertino, CA (Mist)","2.7","111","3"
"May 08,2020","Dallas","5.88","17","1"
"May 08,2020","Durham, NC","6.25","48","3"
"May 08,2020","Bridgewater","8.82","34","3"
"May 08,2020","Seoul, Korea","56.82","44","25"
"May 08,2020","Kuala Lumpur, Malaysia","6.9","29","2"
"May 08,2020","Tokyo, Japan (Shinjuku)","3.39","177","6"
"May 08,2020","Tokyo, Japan (Kyobashi)","8.57","35","3"
"May 08,2020","India-Mumbai","4.17","24","1"
"May 08,2020","Milan","5.26","19","1"
"May 08,2020","India-Bagmane Tridib, Bldg 3","4.76","483","23"
"May 08,2020","Hong Kong","30.56","72","22"
"May 08,2020","India-Electra, Bldg 4","3.97","1233","49"
"May 08,2020","India Elnath Bldg 5","6.33","1896","120"
"May 09,2020","India Elnath Bldg 5","4.54","1896","86"
"May 09,2020","India-Electra, Bldg 4","2.27","1233","28"
"May 09,2020","Hong Kong","1.39","72","1"
"May 09,2020","India-Bagmane Tridib, Bldg 3","3.93","483","19"
"May 09,2020","India-Mumbai","12.5","24","3"
"May 09,2020","Durham, NC","4.17","48","2"
"May 09,2020","Taipei","4","25","1"
"May 09,2020","Addlestone","1.23","81","1"
"May 09,2020","Riyadh","2.2","91","2"
"May 09,2020","Moscow","2.44","41","1"
"May 09,2020","Amsterdam","1.18","254","3"
"May 09,2020","Dubai","2.94","34","1"
"May 09,2020","Kanata (R&D)","1.96","51","1"
"May 09,2020","Kanata Optical (BTI Ottawa)","4.76","21","1"
"May 09,2020","Beijing Sales","6.12","49","3"
"May 09,2020","Beijing CSS","5.97","67","4"
"May 09,2020","Beijing R&D","67.11","149","100"
"May 09,2020","Paris, France","1.69","59","1"
"May 09,2020","Wuhan R&D","20","5","1"
"May 09,2020","Munich","7.69","13","1"
"May 09,2020","Shanghai","9.52","42","4"
"May 09,2020","Guangzhou, China","21.05","19","4"
"May 09,2020","Herndon, Bldg 1","3.17","126","4"
"May 09,2020","Quincy, WA GEO DC Bldg A","3.13","32","1"
"May 09,2020","SVL Building 5","1.56","64","1"
"May 09,2020","SVL Building 8","13.33","45","6"
"May 09,2020","SVL Building A","1.83","1260","23"
"May 09,2020","SVL Building B","1.87","1335","25"
"May 09,2020","Westford NEIC R&D","1.11","452","5"
"May 10,2020","Westford NEIC R&D","0.88","452","4"
"May 10,2020","SVL Building B","1.57","1335","21"
"May 10,2020","SVL Building A","1.19","1260","15"
"May 10,2020","SVL Building 8","11.11","45","5"
"May 10,2020","SVL Building 5","4.69","64","3"
"May 10,2020","Quincy, WA GEO DC Bldg A","12.5","32","4"
"May 10,2020","Herndon, Bldg 1","2.38","126","3"
"May 10,2020","Shanghai","11.9","42","5"
"May 10,2020","Munich","7.69","13","1"
"May 10,2020","Wuhan R&D","20","5","1"
"May 10,2020","Paris, France","1.69","59","1"
"May 10,2020","Beijing R&D","2.01","149","3"
"May 10,2020","Kanata Optical (BTI Ottawa)","4.76","21","1"
"May 10,2020","Kanata (R&D)","1.96","51","1"
"May 10,2020","Dubai","5.88","34","2"
"May 10,2020","Amsterdam","1.18","254","3"
"May 10,2020","Riyadh","2.2","91","2"
"May 10,2020","Addlestone","1.23","81","1"
"May 10,2020","Durham, NC","2.08","48","1"
"May 10,2020","Cupertino, CA (Mist)","1.8","111","2"
"May 10,2020","India-Mumbai","4.17","24","1"
"May 10,2020","Seoul, Korea","2.27","44","1"
"May 10,2020","India-Bagmane Tridib, Bldg 3","3.31","483","16"
"May 10,2020","Hong Kong","5.56","72","4"
"May 10,2020","India-Electra, Bldg 4","2.84","1233","35"
"May 10,2020","India Elnath Bldg 5","5.12","1896","97"
"May 11,2020","India Elnath Bldg 5","6.91","1896","131"
"May 11,2020","India-Electra, Bldg 4","4.46","1233","55"
"May 11,2020","Hong Kong","31.94","72","23"
"May 11,2020","India-Bagmane Tridib, Bldg 3","3.93","483","19"
"May 11,2020","Seoul, Korea","59.09","44","26"
"May 11,2020","Tokyo, Japan (Shinjuku)","4.52","177","8"
"May 11,2020","India-Mumbai","4.17","24","1"
"May 11,2020","Milan","10.53","19","2"
"May 11,2020","Tokyo, Japan (Kyobashi)","2.86","35","1"
"May 11,2020","Cupertino, CA (Mist)","9.01","111","10"
"May 11,2020","Durham, NC","6.25","48","3"
"May 11,2020","Bridgewater","5.88","34","2"
"May 11,2020","Belfast","5.56","18","1"
"May 11,2020","Addlestone","2.47","81","2"
"May 11,2020","Taipei","60","25","15"
"May 11,2020","Singapore","2.94","68","2"
"May 11,2020","Stockholm","11.76","17","2"
"May 11,2020","Riyadh","4.4","91","4"
"May 11,2020","Amsterdam","5.51","254","14"
"May 11,2020","Dubai","5.88","34","2"
"May 11,2020","Sydney Sales","17.78","45","8"
"May 11,2020","Melbourne Sales","5.66","53","3"
"May 11,2020","Kanata (R&D)","1.96","51","1"
"May 11,2020","Brussels","100","2","2"
"May 11,2020","Kanata Optical (BTI Ottawa)","9.52","21","2"
"May 11,2020","Beijing Sales","55.1","49","27"
"May 11,2020","Beijing R&D","88.59","149","132"
"May 11,2020","Beijing CSS","17.91","67","12"
"May 11,2020","Paris, France","3.39","59","2"
"May 11,2020","America s Demo Pool- Sterling VA","100","4","4"
"May 11,2020","Madrid, Spain","2.5","40","1"
"May 11,2020","Wuhan R&D","20","5","1"
"May 11,2020","Munich","38.46","13","5"
"May 11,2020","Shanghai","47.62","42","20"
"May 11,2020","Guangzhou, China","31.58","19","6"
"May 11,2020","Herndon, Bldg 1","11.11","126","14"
"May 11,2020","Quincy, WA GEO DC Bldg A","90.63","32","29"
"May 11,2020","SVL Building 5","42.19","64","27"
"May 11,2020","SVL Building 8","80","45","36"
"May 11,2020","SVL Building A","6.43","1260","81"
"May 11,2020","SVL Building B","5.77","1335","77"
"May 11,2020","Westford NEIC R&D","6.86","452","31"
"May 11,2020","Frederick, MD (R&D)","66.67","3","2"
"May 12,2020","Frederick, MD (R&D)","66.67","3","2"
"May 12,2020","Westford NEIC R&D","5.53","452","25"
"May 12,2020","SVL Building B","5.39","1335","72"
"May 12,2020","SVL Building A","6.51","1260","82"
"May 12,2020","SVL Building 8","93.33","45","42"
"May 12,2020","SVL Building 5","45.31","64","29"
"May 12,2020","Quincy, WA GEO DC Bldg A","90.63","32","29"
"May 12,2020","Herndon, Bldg 1","10.32","126","13"
"May 12,2020","Guangzhou, China","42.11","19","8"
"May 12,2020","Shanghai","45.24","42","19"
"May 12,2020","Munich","23.08","13","3"
"May 12,2020","America s Demo Pool- Sterling VA","100","4","4"
"May 12,2020","Paris, France","10.17","59","6"
"May 12,2020","Beijing CSS","16.42","67","11"
"May 12,2020","Beijing R&D","91.28","149","136"
"May 12,2020","Beijing Sales","61.22","49","30"
"May 12,2020","Kanata Optical (BTI Ottawa)","14.29","21","3"
"May 12,2020","Kanata (R&D)","3.92","51","2"
"May 12,2020","Melbourne Sales","7.55","53","4"
"May 12,2020","Sydney Sales","6.67","45","3"
"May 12,2020","Dubai","8.82","34","3"
"May 12,2020","Amsterdam","4.33","254","11"
"May 12,2020","Riyadh","1.1","91","1"
"May 12,2020","Stockholm","11.76","17","2"
"May 12,2020","Taipei","44","25","11"
"May 12,2020","Addlestone","1.23","81","1"
"May 12,2020","Belfast","5.56","18","1"
"May 12,2020","Bridgewater","11.76","34","4"
"May 12,2020","Durham, NC","10.42","48","5"
"May 12,2020","Cupertino, CA (Mist)","5.41","111","6"
"May 12,2020","Dallas","5.88","17","1"
"May 12,2020","Tokyo, Japan (Kyobashi)","2.86","35","1"
"May 12,2020","Milan","15.79","19","3"
"May 12,2020","India-Mumbai","8.33","24","2"
"May 12,2020","Tokyo, Japan (Shinjuku)","5.08","177","9"
"May 12,2020","Seoul, Korea","45.45","44","20"
"May 12,2020","Kuala Lumpur, Malaysia","3.45","29","1"
"May 12,2020","India-Bagmane Tridib, Bldg 3","4.35","483","21"
"May 12,2020","Hong Kong","36.11","72","26"
"May 12,2020","India-Electra, Bldg 4","5.52","1233","68"
"May 12,2020","India Elnath Bldg 5","7.54","1896","143"
"May 13,2020","India Elnath Bldg 5","6.59","1896","125"
"May 13,2020","India-Electra, Bldg 4","4.7","1233","58"
"May 13,2020","Hong Kong","33.33","72","24"
"May 13,2020","India-Bagmane Tridib, Bldg 3","4.14","483","20"
"May 13,2020","Dublin","4.55","22","1"
"May 13,2020","Seoul, Korea","43.18","44","19"
"May 13,2020","Tokyo, Japan (Shinjuku)","2.26","177","4"
"May 13,2020","India-Mumbai","4.17","24","1"
"May 13,2020","Milan","10.53","19","2"
"May 13,2020","Tokyo, Japan (Kyobashi)","8.57","35","3"
"May 13,2020","Dallas","17.65","17","3"
"May 13,2020","Cupertino, CA (Mist)","6.31","111","7"
"May 13,2020","Durham, NC","10.42","48","5"
"May 13,2020","Bridgewater","14.71","34","5"
"May 13,2020","Belfast","5.56","18","1"
"May 13,2020","Addlestone","4.94","81","4"
"May 13,2020","Taipei","32","25","8"
"May 13,2020","Stockholm","5.88","17","1"
"May 13,2020","Riyadh","2.2","91","2"
"May 13,2020","Amsterdam","4.72","254","12"
"May 13,2020","Moscow","4.88","41","2"
"May 13,2020","Sydney Sales","13.33","45","6"
"May 13,2020","Melbourne Sales","5.66","53","3"
"May 13,2020","Kanata (R&D)","1.96","51","1"
"May 13,2020","Brussels","50","2","1"
"May 13,2020","Kanata Optical (BTI Ottawa)","4.76","21","1"
"May 13,2020","Beijing Sales","22.45","49","11"
"May 13,2020","Beijing R&D","83.89","149","125"
"May 13,2020","Beijing CSS","19.4","67","13"
"May 13,2020","Paris, France","3.39","59","2"
"May 13,2020","America s Demo Pool- Sterling VA","75","4","3"
"May 13,2020","Madrid, Spain","2.5","40","1"
"May 13,2020","Munich","15.38","13","2"
"May 13,2020","Shanghai","33.33","42","14"
"May 13,2020","Guangzhou, China","36.84","19","7"
"May 13,2020","Herndon, Bldg 1","10.32","126","13"
"May 13,2020","Quincy, WA GEO DC Bldg A","96.88","32","31"
"May 13,2020","SVL Building 5","39.06","64","25"
"May 13,2020","SVL Building 8","82.22","45","37"
"May 13,2020","SVL Building A","6.35","1260","80"
"May 13,2020","SVL Building B","5.47","1335","73"
"May 13,2020","Westford NEIC R&D","5.75","452","26"
"May 13,2020","Frederick, MD (R&D)","66.67","3","2"
"May 14,2020","Frederick, MD (R&D)","66.67","3","2"
"May 14,2020","Westford NEIC R&D","7.96","452","36"
"May 14,2020","SVL Building B","6.59","1335","88"
"May 14,2020","SVL Building A","6.75","1260","85"
"May 14,2020","SVL Building 8","84.44","45","38"
"May 14,2020","SVL Building 5","50","64","32"
"May 14,2020","Quincy, WA GEO DC Bldg A","93.75","32","30"
"May 14,2020","Herndon, Bldg 1","11.11","126","14"
"May 14,2020","Guangzhou, China","42.11","19","8"
"May 14,2020","Shanghai","28.57","42","12"
"May 14,2020","Munich","30.77","13","4"
"May 14,2020","Madrid, Spain","2.5","40","1"
"May 14,2020","America s Demo Pool- Sterling VA","100","4","4"
"May 14,2020","Paris, France","5.08","59","3"
"May 14,2020","Beijing CSS","16.42","67","11"
"May 14,2020","Beijing R&D","85.91","149","128"
"May 14,2020","Beijing Sales","48.98","49","24"
"May 14,2020","Kanata Optical (BTI Ottawa)","9.52","21","2"
"May 14,2020","Kanata (R&D)","1.96","51","1"
"May 14,2020","Melbourne Sales","11.32","53","6"
"May 14,2020","Sydney Sales","6.67","45","3"
"May 14,2020","Dubai","8.82","34","3"
"May 14,2020","Amsterdam","4.33","254","11"
"May 14,2020","Riyadh","3.3","91","3"
"May 14,2020","Stockholm","11.76","17","2"
"May 14,2020","Singapore","1.47","68","1"
"May 14,2020","Taipei","48","25","12"
"May 14,2020","Addlestone","1.23","81","1"
"May 14,2020","Belfast","5.56","18","1"
"May 14,2020","Bridgewater","8.82","34","3"
"May 14,2020","Durham, NC","10.42","48","5"
"May 14,2020","London, UK","5.56","18","1"
"May 14,2020","Cupertino, CA (Mist)","9.01","111","10"
"May 14,2020","Dallas","5.88","17","1"
"May 14,2020","Tokyo, Japan (Kyobashi)","14.29","35","5"
"May 14,2020","Milan","15.79","19","3"
"May 14,2020","India-Mumbai","4.17","24","1"
"May 14,2020","Tokyo, Japan (Shinjuku)","4.52","177","8"
"May 14,2020","Seoul, Korea","43.18","44","19"
"May 14,2020","Kuala Lumpur, Malaysia","3.45","29","1"
"May 14,2020","Dublin","4.55","22","1"
"May 14,2020","India-Bagmane Tridib, Bldg 3","5.8","483","28"
"May 14,2020","Hong Kong","33.33","72","24"
"May 14,2020","India-Electra, Bldg 4","5.11","1233","63"
"May 14,2020","India Elnath Bldg 5","8.02","1896","152"
"May 15,2020","India Elnath Bldg 5","8.12","1896","154"
"May 15,2020","India-Electra, Bldg 4","5.19","1233","64"
"May 15,2020","Hong Kong","33.33","72","24"
"May 15,2020","India-Bagmane Tridib, Bldg 3","4.76","483","23"
"May 15,2020","Seoul, Korea","38.64","44","17"
"May 15,2020","Tokyo, Japan (Shinjuku)","5.65","177","10"
"May 15,2020","India-Mumbai","4.17","24","1"
"May 15,2020","Milan","10.53","19","2"
"May 15,2020","Tokyo, Japan (Kyobashi)","8.57","35","3"
"May 15,2020","Cupertino, CA (Mist)","5.41","111","6"
"May 15,2020","Durham, NC","6.25","48","3"
"May 15,2020","Bridgewater","8.82","34","3"
"May 15,2020","Addlestone","1.23","81","1"
"May 15,2020","Taipei","48","25","12"
"May 15,2020","Riyadh","1.1","91","1"
"May 15,2020","Amsterdam","3.94","254","10"
"May 15,2020","Sydney Sales","13.33","45","6"
"May 15,2020","Melbourne Sales","11.32","53","6"
"May 15,2020","Kanata (R&D)","1.96","51","1"
"May 15,2020","Kanata Optical (BTI Ottawa)","19.05","21","4"
"May 15,2020","Beijing Sales","42.86","49","21"
"May 15,2020","Beijing R&D","83.22","149","124"
"May 15,2020","Beijing CSS","16.42","67","11"
"May 15,2020","Paris, France","8.47","59","5"
"May 15,2020","America s Demo Pool- Sterling VA","75","4","3"
"May 15,2020","Munich","15.38","13","2"
"May 15,2020","Shanghai","30.95","42","13"
"May 15,2020","Guangzhou, China","26.32","19","5"
"May 15,2020","Herndon, Bldg 1","9.52","126","12"
"May 15,2020","Quincy, WA GEO DC Bldg A","84.38","32","27"
"May 15,2020","SVL Building 5","26.56","64","17"
"May 15,2020","SVL Building 8","80","45","36"
"May 15,2020","SVL Building A","6.75","1260","85"
"May 15,2020","SVL Building B","6.74","1335","90"
"May 15,2020","Westford NEIC R&D","5.97","452","27"
"May 15,2020","Frederick, MD (R&D)","33.33","3","1"
"May 16,2020","Westford NEIC R&D","1.11","452","5"
"May 16,2020","SVL Building B","1.87","1335","25"
"May 16,2020","SVL Building A","1.98","1260","25"
"May 16,2020","SVL Building 8","15.56","45","7"
"May 16,2020","SVL Building 5","7.81","64","5"
"May 16,2020","Quincy, WA GEO DC Bldg A","15.63","32","5"
"May 16,2020","Herndon, Bldg 1","2.38","126","3"
"May 16,2020","Shanghai","11.9","42","5"
"May 16,2020","Munich","7.69","13","1"
"May 16,2020","Wuhan R&D","20","5","1"
"May 16,2020","Beijing CSS","1.49","67","1"
"May 16,2020","Beijing R&D","2.01","149","3"
"May 16,2020","Beijing Sales","2.04","49","1"
"May 16,2020","Dubai","2.94","34","1"
"May 16,2020","Amsterdam","1.18","254","3"
"May 16,2020","Moscow","2.44","41","1"
"May 16,2020","Riyadh","1.1","91","1"
"May 16,2020","Addlestone","1.23","81","1"
"May 16,2020","Singapore","1.47","68","1"
"May 16,2020","Stockholm","5.88","17","1"
"May 16,2020","Durham, NC","2.08","48","1"
"May 16,2020","Cupertino, CA (Mist)","0.9","111","1"
"May 16,2020","Dallas","5.88","17","1"
"May 16,2020","India-Mumbai","4.17","24","1"
"May 16,2020","Tokyo, Japan (Shinjuku)","0.56","177","1"
"May 16,2020","India-Bagmane Tridib, Bldg 3","4.76","483","23"
"May 16,2020","Hong Kong","1.39","72","1"
"May 16,2020","India-Electra, Bldg 4","2.76","1233","34"
"May 16,2020","India Elnath Bldg 5","5.7","1896","108"
"May 17,2020","India Elnath Bldg 5","5.01","1896","95"
"May 17,2020","India-Electra, Bldg 4","2.6","1233","32"
"May 17,2020","Hong Kong","1.39","72","1"
"May 17,2020","India-Bagmane Tridib, Bldg 3","3.93","483","19"
