"Date","Location","Average Occupancy(%)","Active IDs Assigned to Sites","Total Badge Swipes"
"Apr 23,2020","Durham, NC","8.33","48","4"
"Apr 23,2020","London, UK","5.56","18","1"
"Apr 23,2020","Herndon, Bldg 1","9.52","126","12"
"Apr 23,2020","Quincy, WA GEO DC Bldg A","106.25","32","34"
"Apr 23,2020","SVL Building 5","46.88","64","30"
"Apr 23,2020","SVL Building 8","102.22","45","46"
"Apr 23,2020","SVL Building A","6.51","1260","82"
"Apr 23,2020","SVL Building B","5.77","1335","77"
"Apr 23,2020","Westford NEIC R&D","6.42","452","29"
"Apr 24,2020","Westford NEIC R&D","6.19","452","28"
"Apr 24,2020","SVL Building B","5.47","1335","73"
"Apr 24,2020","SVL Building A","5.32","1260","67"
"Apr 24,2020","SVL Building 8","62.22","45","28"
"Apr 24,2020","SVL Building 5","39.06","64","25"
"Apr 24,2020","Quincy, WA GEO DC Bldg A","81.25","32","26"
"Apr 24,2020","Herndon, Bldg 1","10.32","126","13"
"Apr 24,2020","Frederick, MD (R&D)","33.33","3","1"
"Apr 24,2020","London, UK","5.56","18","1"
"Apr 24,2020","Durham, NC","6.25","48","3"
"Apr 24,2020","Cupertino, CA (Mist)","3.6","111","4"
"Apr 24,2020","Dallas","5.88","17","1"
"Apr 24,2020","Bridgewater","5.88","34","2"
"Apr 24,2020","Singapore","1.47","68","1"
"Apr 24,2020","Stockholm","5.88","17","1"
"Apr 24,2020","Addlestone","1.23","81","1"
"Apr 24,2020","Taipei","20","25","5"
"Apr 24,2020","Amsterdam","4.33","254","11"
"Apr 24,2020","Seoul, Korea","29.55","44","13"
"Apr 24,2020","Kuala Lumpur, Malaysia","3.45","29","1"
"Apr 24,2020","Tokyo, Japan (Shinjuku)","2.82","177","5"
"Apr 24,2020","India-Mumbai","4.17","24","1"
"Apr 24,2020","Milan","5.26","19","1"
"Apr 24,2020","Tokyo, Japan (Kyobashi)","14.29","35","5"
"Apr 24,2020","India Elnath Bldg 5","5.59","1896","106"
"Apr 24,2020","India-Electra, Bldg 4","3.08","1233","38"
"Apr 24,2020","Hong Kong","16.67","72","12"
"Apr 24,2020","India-Bagmane Tridib, Bldg 3","3.73","483","18"
"Apr 24,2020","Sydney Sales","6.67","45","3"
"Apr 24,2020","Melbourne Sales","9.43","53","5"
"Apr 24,2020","Paris, France","1.69","59","1"
"Apr 24,2020","America s Demo Pool- Sterling VA","75","4","3"
"Apr 24,2020","Madrid, Spain","2.5","40","1"
"Apr 24,2020","Shanghai","23.81","42","10"
"Apr 24,2020","Guangzhou, China","31.58","19","6"
"Apr 24,2020","Munich","23.08","13","3"
"Apr 24,2020","Beijing CSS","7.46","67","5"
"Apr 24,2020","Beijing R&D","78.52","149","117"
"Apr 24,2020","Kanata Optical (BTI Ottawa)","14.29","21","3"
"Apr 24,2020","Beijing Sales","8.16","49","4"
"Apr 24,2020","Kanata (R&D)","1.96","51","1"
"Apr 25,2020","Kanata (R&D)","1.96","51","1"
"Apr 25,2020","Beijing Sales","2.04","49","1"
"Apr 25,2020","Kanata Optical (BTI Ottawa)","4.76","21","1"
"Apr 25,2020","Beijing R&D","2.01","149","3"
"Apr 25,2020","Munich","7.69","13","1"
"Apr 25,2020","Shanghai","7.14","42","3"
"Apr 25,2020","Paris, France","1.69","59","1"
"Apr 25,2020","Sydney Sales","2.22","45","1"
"Apr 25,2020","India-Bagmane Tridib, Bldg 3","3.11","483","15"
"Apr 25,2020","Hong Kong","1.39","72","1"
"Apr 25,2020","India-Electra, Bldg 4","2.35","1233","29"
"Apr 25,2020","India Elnath Bldg 5","4.48","1896","85"
"Apr 25,2020","India-Mumbai","4.17","24","1"
"Apr 25,2020","Tokyo, Japan (Shinjuku)","0.56","177","1"
"Apr 25,2020","Amsterdam","1.18","254","3"
"Apr 25,2020","Moscow","2.44","41","1"
"Apr 25,2020","Addlestone","1.23","81","1"
"Apr 25,2020","Stockholm","5.88","17","1"
"Apr 25,2020","Dallas","5.88","17","1"
"Apr 25,2020","Cupertino, CA (Mist)","1.8","111","2"
"Apr 25,2020","Durham, NC","4.17","48","2"
"Apr 25,2020","Herndon, Bldg 1","2.38","126","3"
"Apr 25,2020","Quincy, WA GEO DC Bldg A","12.5","32","4"
"Apr 25,2020","SVL Building 5","3.13","64","2"
"Apr 25,2020","SVL Building 8","6.67","45","3"
"Apr 25,2020","SVL Building A","1.75","1260","22"
"Apr 25,2020","SVL Building B","1.35","1335","18"
"Apr 25,2020","Westford NEIC R&D","1.11","452","5"
"Apr 26,2020","Westford NEIC R&D","1.11","452","5"
"Apr 26,2020","SVL Building B","1.42","1335","19"
"Apr 26,2020","SVL Building A","0.71","1260","9"
"Apr 26,2020","SVL Building 8","2.22","45","1"
"Apr 26,2020","SVL Building 5","3.13","64","2"
"Apr 26,2020","Quincy, WA GEO DC Bldg A","21.88","32","7"
"Apr 26,2020","Herndon, Bldg 1","2.38","126","3"
"Apr 26,2020","Durham, NC","4.17","48","2"
"Apr 26,2020","Cupertino, CA (Mist)","0.9","111","1"
"Apr 26,2020","Bridgewater","2.94","34","1"
"Apr 26,2020","Stockholm","5.88","17","1"
"Apr 26,2020","Singapore","1.47","68","1"
"Apr 26,2020","Addlestone","1.23","81","1"
"Apr 26,2020","Amsterdam","1.57","254","4"
"Apr 26,2020","Riyadh","1.1","91","1"
"Apr 26,2020","Seoul, Korea","2.27","44","1"
"Apr 26,2020","India-Mumbai","8.33","24","2"
"Apr 26,2020","Tokyo, Japan (Kyobashi)","2.86","35","1"
"Apr 26,2020","India Elnath Bldg 5","5.27","1896","100"
"Apr 26,2020","India-Electra, Bldg 4","2.76","1233","34"
"Apr 26,2020","India-Bagmane Tridib, Bldg 3","4.35","483","21"
"Apr 26,2020","Dubai","2.94","34","1"
"Apr 26,2020","Paris, France","1.69","59","1"
"Apr 26,2020","Shanghai","14.29","42","6"
"Apr 26,2020","Guangzhou, China","15.79","19","3"
"Apr 26,2020","Munich","7.69","13","1"
"Apr 26,2020","Wuhan R&D","20","5","1"
"Apr 26,2020","Beijing R&D","66.44","149","99"
"Apr 26,2020","Beijing CSS","2.99","67","2"
"Apr 26,2020","Kanata Optical (BTI Ottawa)","4.76","21","1"
"Apr 26,2020","Beijing Sales","4.08","49","2"
"Apr 26,2020","Kanata (R&D)","1.96","51","1"
"Apr 26,2020","Brussels","50","2","1"
"Apr 27,2020","Kanata (R&D)","3.92","51","2"
"Apr 27,2020","Beijing Sales","8.16","49","4"
"Apr 27,2020","Kanata Optical (BTI Ottawa)","9.52","21","2"
"Apr 27,2020","Beijing CSS","2.99","67","2"
"Apr 27,2020","Beijing R&D","89.26","149","133"
"Apr 27,2020","Munich","23.08","13","3"
"Apr 27,2020","Guangzhou, China","15.79","19","3"
"Apr 27,2020","Shanghai","30.95","42","13"
"Apr 27,2020","Paris, France","3.39","59","2"
"Apr 27,2020","America s Demo Pool- Sterling VA","75","4","3"
